Total Number of Aligned Reads:	527889	Total Number of Mapped Genomes:	3957
Genome	Tax Names	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|1279007	Pseudomonas aeruginosa PA1	0.34009877740669975	0.007888021913697765	4164.0	0.007888021913697765	0.0	0.01899476312880264	0.00016981200831011782	89.64189125481978	0.0	0.00293622333482986
ti|224326	Borrelia burgdorferi B31	0.08579112985073395	0.0027808876487291838	1468.0	0.0027486839089278237	3.2203739801359756e-05	0.020137493991428237	0.0003214690967229843	169.69999999999945	0.0	0.001559039873912887
ti|478801	Kytococcus sedentarius DSM 20547	0.08550813712172224	0.000878972662813584	464.0	0.000878972662813584	0.0	0.08550813712172224	0.000878972662813584	464.0	0.000878972662813584	0.0
ti|563174	Listeria monocytogenes L99	0.04164669329289307	0.002533360864373587	1337.3333333333085	0.0	0.007600082593120902	0.040313032195176166	0.000319577711549487	168.70155857214715	0.0	0.0011403912564952102
ti|552536	Listeria monocytogenes HCC23	0.04164669329289307	0.002533360864373587	1337.3333333333085	0.0	0.007600082593120902	0.040313032195176166	0.000319577711549487	168.70155857214715	0.0	0.0011403912564952102
ti|1030009	Listeria monocytogenes M7	0.04164669329289307	0.002533360864373587	1337.3333333333085	0.0	0.007600082593120902	0.040313032195176166	0.000319577711549487	168.70155857214715	0.0	0.0011403912564952102
ti|94122	Shewanella sp. ANA-3	0.031203794658304015	0.003352977614612163	1770.0	0.003352977614612163	0.0	0.03119209158492127	0.0011072403478761634	584.5	0.0010911384779754836	3.030940216598565e-05
ti|204773	Herminiimonas arsenicoxydans	0.030483537591475054	0.0008448745853768501	446.0	0.0008448745853768501	0.0	0.030483537432505654	0.0008111553754671907	428.1999999999998	0.0008050934950339939	3.030940216598565e-05
ti|62928	Azoarcus sp. BH72	0.02162597984159009	0.0010703007639863682	565.0	0.0010703007639863682	0.0	0.015448969134471646	0.0009509574929577998	502.0	0.0010570404005387497	3.7886752707482063e-06
ti|335283	Nitrosomonas eutropha C91	0.02161872371968525	0.0009964215962067783	526.0	0.0009964215962067783	0.0	0.021618723719681723	0.0009964215962067783	526.0	0.0009964215962067783	0.0
ti|562	Escherichia coli	0.019446557639670202	0.06351903525172906	33531.0	0.06351903525172906	0.0	0.0004977563512564469	0.002969292131794427	1567.4566541608283	0.00014396966028843184	0.03979624504393916
ti|520454	Brucella abortus bv. 6 str. 870	0.01799832915533206	0.017274464896976448	9119.0	0.017274464896976448	0.0	0.0006918299079271656	0.00048593071736281144	256.51748045793715	0.0	0.012709111195724859
ti|1423	Bacillus subtilis	0.015350388164630122	0.004296357757028467	2268.0	0.004292569081757718	3.7886752707482063e-06	0.0008341902364558383	0.00026839085822238115	141.68058175615457	0.0	0.0031805928897931193
ti|311402	Agrobacterium vitis S4	0.015333985535785981	0.0005436749013523676	287.0	0.0005436749013523676	0.0	0.015333985535785981	0.0005436749013523676	287.0	0.0005436749013523676	0.0
ti|114615	Bradyrhizobium sp. ORS 278	0.010921984629499526	0.0008827613380843322	466.0	0.0008827613380843322	0.0	0.01092198455848546	0.0008808670004489581	465.0	0.0008808670004489581	0.0
ti|398580	Dinoroseobacter shibae DFL 12 = DSM 16493	0.01088861082836419	0.0007065879379945405	373.0	0.0007065879379945405	0.0	0.01088861082836419	0.0007065879379945405	373.0	0.0007065879379945405	0.0
ti|108619	Salmonella enterica subsp. enterica serovar Newport	0.010753341652965489	0.026676062581338124	14082.0	0.026676062581338124	0.0	9.605513488653826e-05	0.0001239535905076148	65.43373693947427	0.0	0.0016348133793278512
ti|593588	Vibrio cholerae MJ-1236	0.00914485757584049	0.019615866214298838	10355.0	0.019615866214298838	0.0	0.0009216238473322846	0.0013764177513091664	726.5957903208446	0.0	0.013084190047528931
ti|214092	Yersinia pestis CO92	0.008407064807467135	0.010470004110712668	5527.0	7.577350541496413e-06	0.020932430870883843	0.0006792662029021882	0.000703990173819257	371.62866886727375	0.0	0.019301406166826737
ti|1035377	Yersinia pestis A1122	0.008407064807467135	0.010470004110712668	5527.0	7.577350541496413e-06	0.020932430870883843	0.0006792662029021882	0.000703990173819257	371.62866886727375	0.0	0.019301406166826737
ti|390333	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002	0.007774300875636954	0.0008391915724707277	443.0	0.0008391915724707277	0.0	0.0027153627581739084	0.00027000625762865554	142.53333333333333	8.713953122720875e-05	0.000530414537904749
ti|425104	Shewanella sediminis HAW-EB3	0.007739265012005697	0.0010172593101958935	537.0	0.0010172593101958935	0.0	0.007739265012000427	0.0010021046091129007	529.0	0.0010021046091129007	0.0
ti|373153	Streptococcus pneumoniae D39	0.005765915761676884	0.006768468371191671	3573.0	1.8943376353741032e-06	0.013535042404747968	0.0005007693739326753	0.0005960462755276573	314.6462723420195	0.0	0.00620963876875631
