# Gene Family	SampleCoenzyme_B12_biosynthesis_Abundance-RPKs
UNMAPPED	56088.0000000000
UniRef50_P29933: Aerobic cobaltochelatase subunit CobS	2991.4738895520
UniRef50_P29933: Aerobic cobaltochelatase subunit CobS|unclassified	2991.4738895520
UniRef50_UPI00046D432F: hypothetical protein	2625.0556395595
UniRef50_UPI00046D432F: hypothetical protein|unclassified	2625.0556395595
UniRef50_UPI0003C78C50: vitamin B12/cobalamin outer membrane transporter, partial	2569.8732210751
UniRef50_UPI0003C78C50: vitamin B12/cobalamin outer membrane transporter, partial|unclassified	2569.8732210751
UniRef50_UPI0002886E15: cobalamin biosynthesis protein CobW, partial	2448.0312319235
UniRef50_UPI0002886E15: cobalamin biosynthesis protein CobW, partial|unclassified	2448.0312319235
UniRef50_A8AHA1: Vitamin B12 import ATP-binding protein BtuD	2375.6986633044
UniRef50_A8AHA1: Vitamin B12 import ATP-binding protein BtuD|unclassified	2375.6986633044
UniRef50_N6V8J9	2282.0524977918
UniRef50_N6V8J9|unclassified	2282.0524977918
UniRef50_Q05632: Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)	2254.0058904076
UniRef50_Q05632: Cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating)|unclassified	2254.0058904076
UniRef50_B1FR14	2186.3828349381
UniRef50_B1FR14|unclassified	2186.3828349381
UniRef50_Q9HZU0: Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]	2045.5749164457
UniRef50_Q9HZU0: Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]|unclassified	2045.5749164457
UniRef50_Q9HZQ2: Protein CobW	1887.8835077144
UniRef50_Q9HZQ2: Protein CobW|unclassified	1887.8835077144
UniRef50_P0A2H2: Cobalt-precorrin-7 C(5)-methyltransferase	1732.6110764767
UniRef50_P0A2H2: Cobalt-precorrin-7 C(5)-methyltransferase|unclassified	1732.6110764767
UniRef50_I5BS24: Hydrogenobyrinic acid a,c-diamide cobaltochelatase	1587.6076672273
UniRef50_I5BS24: Hydrogenobyrinic acid a,c-diamide cobaltochelatase|unclassified	1587.6076672273
UniRef50_X7MWR1: Periplasmic binding family protein	1505.4294546083
UniRef50_X7MWR1: Periplasmic binding family protein|unclassified	1505.4294546083
UniRef50_UPI00046FF0F0: cobalamin biosynthesis protein CobS, partial	1371.9862697386
UniRef50_UPI00046FF0F0: cobalamin biosynthesis protein CobS, partial|unclassified	1371.9862697386
UniRef50_I5BS23: Hydrogenobyrinic acid a,c-diamide cobaltochelatase	1200.8321556235
UniRef50_I5BS23: Hydrogenobyrinic acid a,c-diamide cobaltochelatase|unclassified	1200.8321556235
UniRef50_Q3JSG0	1187.0928508433
UniRef50_Q3JSG0|unclassified	1187.0928508433
UniRef50_F2EY33: Vitamin B12 binding protein BtuF	1102.8157715964
UniRef50_F2EY33: Vitamin B12 binding protein BtuF|unclassified	1102.8157715964
UniRef50_Q0TLH3: Periplasmic binding protein	1074.2942700848
UniRef50_Q0TLH3: Periplasmic binding protein|unclassified	1074.2942700848
UniRef50_UPI00037A1823: CobW	1053.4403016168
UniRef50_UPI00037A1823: CobW|unclassified	1053.4403016168
UniRef50_R7EN79	962.4299720919
UniRef50_R7EN79|unclassified	962.4299720919
UniRef50_U3TRI8: Periplasmic-binding protein	950.7404207415
UniRef50_U3TRI8: Periplasmic-binding protein|unclassified	950.7404207415
UniRef50_P9WGA9: Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]	932.3893838276
UniRef50_P9WGA9: Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]|unclassified	932.3893838276
UniRef50_P21631: Uroporphyrinogen-III C-methyltransferase	929.6308738377
UniRef50_P21631: Uroporphyrinogen-III C-methyltransferase|unclassified	929.6308738377
UniRef50_P29934: Aerobic cobaltochelatase subunit CobT	857.1764035275
UniRef50_P29934: Aerobic cobaltochelatase subunit CobT|unclassified	857.1764035275
UniRef50_UPI0003C16C1C: PREDICTED: uroporphyrinogen-III C-methyltransferase-like	827.3763823085
